Link;Address;Neighbor;Area;Type;Rooms;Bathrooms;Parking;Price
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-brasil-bairros-londrina-com-garagem-55m2-venda-RS285000-id-2682867783/;Rua Venezuela, 577 - Vila Brasil, Londrina - PR; Vila Brasil;55;Apartamento;2;2;1;285000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-64m2-venda-RS268510-id-2683030701/;Rua Pio XII, 100 - Centro, Londrina - PR; Centro;64;Apartamento;2;1;1;268510
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-77m2-venda-RS215000-id-2680760409/;Centro, Londrina - PR;Centro;77;Apartamento;2;2;;215000
https://www.vivareal.com.br/imovel/casa-3-quartos-california-bairros-londrina-com-garagem-96m2-venda-RS318600-id-2682744211/;Rua Comandante Ismael Guilherme, 100 - California, Londrina - PR; California;96;Casa;3;1;2;318600
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-81m2-venda-RS311399-id-2682747284/;Rua Goiás, 100 - Centro, Londrina - PR; Centro;81;Apartamento;3;2;1;311399
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-75m2-venda-RS265000-id-2682868780/;Avenida Juscelino Kubitschek, 635 - Centro, Londrina - PR; Centro;75;Apartamento;3;2;1;265000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-brasil-bairros-londrina-com-garagem-52m2-venda-RS298000-id-2582335062/;Rua Paes Leme - Vila Brasil, Londrina - PR; Vila Brasil;52;Apartamento;2;2;1;298000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-aeroporto-bairros-londrina-com-garagem-76m2-venda-RS210000-id-84589088/;Rua Débora, 143 - Aeroporto, Londrina - PR; Aeroporto;76;Apartamento;3;1;2;210000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-50m2-venda-RS240000-id-2680463437/;Centro, Londrina - PR;Centro;50;Apartamento;2;1;1;240000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-70m2-venda-RS270000-id-2660285857/;Centro, Londrina - PR;Centro;70;Apartamento;3;1;1;270000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-64m2-venda-RS280000-id-2653088396/;Rua Belo Horizonte - Centro, Londrina - PR; Centro;64;Apartamento;2;2;1;280000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-61m2-venda-RS165000-id-2682770477/;Rua Piauí, 191 - Centro, Londrina - PR; Centro;61;Apartamento;2;1;;165000
https://www.vivareal.com.br/imovel/casa-2-quartos-ideal-bairros-londrina-com-garagem-60m2-venda-RS350000-id-2663518872/;Rua Diamante, 305 - Ideal, Londrina - PR; Ideal;60;Casa;2;1;2;350000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-65m2-venda-RS280000-id-2622746152/;Rua Alagoas, 1002 - Centro, Londrina - PR; Centro;65;Apartamento;2;2;1;280000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-64m2-venda-RS285000-id-2637133818/;Rua Pio XII, 560 - Centro, Londrina - PR; Centro;64;Apartamento;2;2;;285000
